id,loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,policy_code,loan_status
1077501,5000,5000, 36 months,10.65,162.87,B,B2,10+ years,3,24000,3,27.65,0,31048,1,,,3,0,13648,83.7,9,0,0,1,2
1077430,2500,2500, 60 months,15.27,59.83,C,C4,< 1 year,3,30000,2,1,0,36251,5,,,3,0,1687,9.4,4,0,0,1,1
1077175,2400,2400, 36 months,15.96,84.33,C,C5,10+ years,3,12252,1,8.72,0,37196,2,,,2,0,2956,98.5,10,0,0,1,2
1076863,10000,10000, 36 months,13.49,339.31,C,C1,10+ years,3,49200,2,20,0,35096,1,35,,10,0,5598,21,37,0,0,1,2
1075269,5000,5000, 36 months,7.9,156.46,A,A4,3 years,3,36000,2,11.2,0,38292,3,,,9,0,7963,28.3,12,0,0,1,2
1072053,3000,3000, 36 months,18.64,109.43,E,E1,9 years,3,48000,2,5.35,0,39083,2,,,4,0,8221,87.5,4,0,0,1,2
1071795,5600,5600, 60 months,21.28,152.39,F,F2,4 years,2,40000,2,5.55,0,38078,2,,,11,0,5210,32.6,13,0,0,1,1
1071570,5375,5375, 60 months,12.69,121.45,B,B5,< 1 year,3,15000,3,18.08,0,38231,0,,,2,0,9279,36.5,3,0,0,1,1
1070078,6500,6500, 60 months,14.65,153.45,C,C3,5 years,2,72000,1,16.12,0,35796,2,,,14,0,4032,20.6,23,0,0,1,2
1069908,12000,12000, 36 months,12.69,402.54,B,B5,10+ years,2,75000,2,10.78,0,32782,0,,,12,0,23336,67.1,34,0,0,1,2
1064687,9000,9000, 36 months,13.49,305.38,C,C1,< 1 year,3,30000,2,10.08,0,38078,1,,,4,0,10452,91.7,9,0,0,1,1
1069866,3000,3000, 36 months,9.91,96.68,B,B1,3 years,3,15000,2,12.56,0,37803,2,,,11,0,7323,43.1,11,0,0,1,2
1069057,10000,10000, 36 months,10.65,325.74,B,B2,3 years,3,100000,2,7.06,0,33359,2,,,14,0,11997,55.5,29,0,0,1,1
1069759,1000,1000, 36 months,16.29,35.31,D,D1,< 1 year,3,28000,1,20.31,0,39326,1,,,11,0,6524,81.5,23,0,0,1,2
1065775,10000,10000, 36 months,15.27,347.98,C,C4,4 years,3,42000,1,18.6,0,36069,2,61,,14,0,24043,70.2,28,0,0,1,2
1069971,3600,3600, 36 months,6.03,109.57,A,A1,10+ years,1,110000,1,10.52,0,34182,0,,,20,0,22836,16,42,0,0,1,2
1062474,6000,6000, 36 months,11.71,198.46,B,B3,1 year,1,84000,3,18.44,2,37895,0,8,,4,0,0,37.73,14,0,0,1,2
1069742,9200,9200, 36 months,6.03,280.01,A,A1,6 years,3,77385.19,1,9.86,0,36892,0,,,8,0,7314,23.1,28,0,0,1,2
1069740,20250,20250, 60 months,15.27,484.63,C,C4,3 years,3,43370,3,26.53,0,35735,3,,,8,0,17813,85.6,22,0,0,1,2
1039153,21000,21000, 36 months,12.42,701.73,B,B4,10+ years,3,105000,3,13.22,0,30348,0,,,7,0,32135,90.3,38,0,0,1,1
1069710,10000,10000, 36 months,11.71,330.76,B,B3,10+ years,2,50000,2,11.18,0,31229,0,,,8,0,10056,82.4,21,0,0,1,2
1069700,10000,10000, 36 months,11.71,330.76,B,B3,5 years,3,50000,1,16.01,0,37712,0,,,6,0,17800,91.8,17,0,0,1,2
1069559,6000,6000, 36 months,11.71,198.46,B,B3,1 year,3,76000,1,2.4,0,37043,1,,,7,0,5963,29.7,7,0,0,1,1
1069697,15000,15000, 36 months,9.91,483.38,B,B1,2 years,1,92000,3,29.44,0,37288,0,,,8,0,13707,93.9,31,0,0,1,2
1069800,15000,15000, 36 months,14.27,514.64,C,C2,9 years,3,60000,1,15.22,0,37895,1,,,7,0,5872,57.6,11,0,0,1,1
1069657,5000,5000, 60 months,16.77,123.65,D,D2,2 years,3,50004,1,13.97,3,37895,0,20,,14,0,4345,59.5,22,0,0,1,1
1069799,4000,4000, 36 months,11.71,132.31,B,B3,10+ years,1,106000,1,5.63,1,30895,0,18,,12,0,6110,37.7,44,0,0,1,2
1047704,8500,8500, 36 months,11.71,281.15,B,B3,< 1 year,3,25000,2,12.19,0,39022,0,,,8,0,6441,59.1,12,0,0,1,2
1032111,4375,4375, 36 months,7.51,136.11,A,A3,7 years,1,17108,2,20.34,0,32112,0,,,6,0,11210,86.9,12,0,0,1,2
1069539,31825,31825, 36 months,7.9,995.82,A,A4,5 years,1,75000,3,14.03,0,29891,0,,,12,0,23151,27.4,26,0,0,1,2
1069591,5000,5000, 36 months,8.9,158.77,A,A5,2 years,3,24044,3,11.93,0,38443,0,45,,8,0,2224,29.3,16,0,0,1,2
1069530,7000,7000, 36 months,15.96,245.97,C,C5,7 years,3,34000,2,6.35,0,39356,1,,,6,0,6113,60.5,6,0,0,1,2
1069522,12400,12400, 36 months,10.65,403.91,B,B2,10+ years,3,41000,1,11.8,0,38534,2,,,9,0,11095,57.2,12,0,0,1,2
1069361,10800,10800, 36 months,9.91,348.03,B,B1,2 years,3,55596,2,5.5,0,36861,0,,,7,0,2535,13.3,18,0,0,1,2
1069357,15000,15000, 36 months,7.9,469.36,A,A4,1 year,3,45000,3,8.48,0,38292,0,,,7,0,6704,50.4,27,0,0,1,2
1069356,6000,6000, 36 months,12.42,200.5,B,B4,1 year,3,36852,2,10.62,0,39173,1,,,7,0,7310,66.5,12,0,0,1,2
1067573,9600,9600, 36 months,7.51,298.67,A,A3,4 years,3,68004,2,6.63,0,37622,0,,,6,0,2896,18.1,11,0,0,1,2
1069506,12000,12000, 36 months,7.9,375.49,A,A4,10+ years,3,62300,1,16.7,0,34394,0,38,,15,0,8601,21,25,0,0,1,2
1069314,3000,3000, 36 months,18.25,108.84,D,D5,9 years,1,65000,1,17.39,0,36039,0,,,8,0,43936,98.1,22,0,0,1,2
1060578,4400,4400, 36 months,16.77,156.37,D,D2,10+ years,3,55000,1,20.01,0,38139,0,,,7,0,25237,99,11,0,0,1,2
1069469,6000,6000, 36 months,6.03,182.62,A,A1,10+ years,1,45600,1,5.34,0,35004,1,,,6,0,3378,32.5,28,0,0,1,2
1051117,14000,14000, 36 months,9.91,451.15,B,B1,6 years,3,80000,1,10,0,36342,1,45,,7,0,2219,13.4,40,0,0,1,2
1069465,5000,5000, 36 months,8.9,158.77,A,A5,10+ years,1,100000,2,16.33,0,34851,0,,,17,0,74351,62.1,35,0,0,1,1
1069283,10000,10000, 36 months,10.65,325.74,B,B2,6 years,3,27000,3,11.47,0,39022,0,,,7,0,7814,52.3,10,0,0,1,2
1069287,10000,10000, 36 months,6.03,304.36,A,A1,10+ years,3,60000,1,12.74,0,33848,1,,,11,0,14019,19.5,18,0,0,1,2
1069453,11000,11000, 36 months,6.62,337.75,A,A2,5 years,3,70000,1,10.85,0,37257,0,,,5,0,11638,36.4,7,0,0,1,2
