id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,addr_state,dti,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,loan_status
1077501,5000,5000,4975, 36 months,10.65,162.87,B,10+ years,RENT,24000,Verified,credit_card,AZ,27.65,31048,1,3,0,13648,83.7,9,0,0,5861.071414,5831.78,5000,861.07,Fully Paid
1077430,2500,2500,2500, 60 months,15.27,59.83,C,Less than 1 year,RENT,30000,Source Verified,car,GA,1,36251,5,3,0,1687,9.4,4,0,0,1008.71,1008.71,456.46,435.17,Charged Off
1077175,2400,2400,2400, 36 months,15.96,84.33,C,10+ years,RENT,12252,Not Verified,small_business,IL,8.72,43040,2,2,0,2956,98.5,10,0,0,3003.653644,3003.65,2400,603.65,Fully Paid
1076863,10000,10000,10000, 36 months,13.49,339.31,C,10+ years,RENT,49200,Source Verified,other,CA,20,35096,1,10,0,5598,21,37,0,0,12226.30221,12226.3,10000,2209.33,Fully Paid
1075269,5000,5000,5000, 36 months,7.9,156.46,A,3 years,RENT,36000,Source Verified,wedding,AZ,11.2,43043,3,9,0,7963,28.3,12,0,0,5631.377753,5631.38,5000,631.38,Fully Paid
1072053,3000,3000,3000, 36 months,18.64,109.43,E,9 years,RENT,48000,Source Verified,car,CA,5.35,42742,2,4,0,8221,87.5,4,0,0,3938.144334,3938.14,3000,938.14,Fully Paid
1071795,5600,5600,5600, 60 months,21.28,152.39,F,4 years,OWN,40000,Source Verified,small_business,CA,5.55,42829,2,11,0,5210,32.6,13,0,0,646.02,646.02,162.02,294.94,Charged Off
1071570,5375,5375,5350, 60 months,12.69,121.45,B,Less than 1 year,RENT,15000,Verified,other,TX,18.08,42982,0,2,0,9279,36.5,3,0,0,1476.19,1469.34,673.48,533.42,Charged Off
1070078,6500,6500,6500, 60 months,14.65,153.45,C,5 years,OWN,72000,Not Verified,debt_consolidation,AZ,16.12,35796,2,14,0,4032,20.6,23,0,0,7677.52,7677.52,6500,1177.52,Fully Paid
1069908,12000,12000,12000, 36 months,12.69,402.54,B,10+ years,OWN,75000,Source Verified,debt_consolidation,CA,10.78,32782,0,12,0,23336,67.1,34,0,0,13943.08,13943.08,12000,1943.08,Fully Paid
1064687,9000,9000,9000, 36 months,13.49,305.38,C,Less than 1 year,RENT,30000,Source Verified,debt_consolidation,VA,10.08,42829,1,4,0,10452,91.7,9,0,0,2270.7,2270.7,1256.14,570.26,Charged Off
